13,0.05151992518678518
14,0.041504911646502676
15,0.034741999433916815
16,0.03023909552843426
17,0.02672133642752976
18,0.023457638482651758
19,0.021038910526321748
20,0.018009643037661595
21,0.01599067016696124
22,0.014234157173969439
23,0.012768334548651672
24,0.011374221864129515
25,0.010242054931854724
26,0.00927078453423502
27,0.008427569311699171
28,0.007627745071495182
29,0.0067419503985503716
30,0.005968378431771287
31,0.005353154526973098
32,0.0046923380944870596
33,0.004172763222667387
34,0.003520496442650107
35,0.00306592958507199
36,0.002497950204162166
37,0.0020093331127163183
38,0.001585256401204386
39,0.0012721646630533942
40,9.067489320599286E-4
41,4.552519714915257E-4
42,1.4056621810440877E-13
43,1.3419097797492073E-13
44,1.3221262700422023E-13
45,1.3006556945350877E-13
46,1.2913037507270383E-13
47,1.280658217538408E-13
48,1.236442897284094E-13
49,1.222244516338201E-13
50,1.2101793939919477E-13
51,1.1892817162932762E-13
52,1.1403612481623166E-13
53,1.1243856542139099E-13
54,1.1092549181889214E-13
55,1.0856845206487184E-13
56,1.0774677462349147E-13
57,1.0584795661615816E-13
58,1.0502211752986883E-13
59,1.0440431581403067E-13
60,1.0334373493685688E-13
61,1.0291222019652065E-13
62,1.0155314254582489E-13
63,1.0084552314906765E-13
64,9.978089122253944E-14
65,9.867979021238013E-14
66,9.78092190277504E-14
67,9.69837310046344E-14
68,9.523118931280577E-14
69,9.394092916028252E-14
70,9.288717580075466E-14
71,8.857205212533919E-14
72,8.748775369800552E-14
73,8.651227030892301E-14
74,8.45232536005382E-14
75,8.309016476551696E-14
76,8.198337294478323E-14
77,7.980410910861673E-14
78,7.86840790868594E-14
79,7.568491503377979E-14
80,7.407211678524854E-14
81,7.273366092842659E-14
82,7.13465947745928E-14
83,6.967052861083552E-14
84,6.77135945540508E-14
85,6.663969748940615E-14
86,6.251777343260468E-14
87,5.675311554260915E-14
88,2.135650683872072E-15
89,2.135650683872072E-15
90,2.135650683872072E-15
